Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
855,LAZ,Financial Services,Capital Markets,NYSE,111.49,81,87,84,70
856,CRM,Technology,Software—Application,NYSE,111.48,81,75,59,44
857,BLX,Financial Services,Banks—Regional,NYSE,111.4,81,71,78,84
858,ASMB,Healthcare,Biotechnology,NASDAQ,111.39,80,78,78,76
859,BSX,Healthcare,Medical Devices,NYSE,111.37,80,74,83,88
860,UIS,Technology,Information Technology Services,NYSE,111.35,80,91,72,25
861,BCML,Financial Services,Banks—Regional,NASDAQ,111.31,80,84,64,51
862,AMZN,Consumer Cyclical,Internet Retail,NASDAQ,111.27,80,69,53,89
863,SEER,Healthcare,Biotechnology,NASDAQ,111.24,80,86,53,14
864,VSEC,Industrials,Aerospace & Defense,NASDAQ,111.2,80,90,70,92
865,PBHC,Financial Services,Banks—Regional,NASDAQ,111.2,80,72,78,34
866,HQY,Healthcare,Health Information Services,NASDAQ,111.16,80,78,38,57
867,SFST,Financial Services,Banks—Regional,NASDAQ,111.16,80,88,59,44
868,TW,Financial Services,Capital Markets,NASDAQ,111.12,80,71,83,80
869,TGNA,Communication Services,Broadcasting,NYSE,111.1,80,77,48,37
870,IBTX,Financial Services,Banks—Regional,NASDAQ,111.09,80,87,84,77
871,PWR,Industrials,Engineering & Construction,NYSE,111.05,80,86,86,81
872,LNG,Energy,Oil & Gas Midstream,NYSE,111.0,80,77,58,61
873,IHG,Consumer Cyclical,Lodging,NYSE,110.99,80,79,69,86
874,CAC,Financial Services,Banks—Regional,NASDAQ,110.98,80,83,80,70
875,FYBR,Communication Services,Telecom Services,NASDAQ,110.93,80,82,95,85
876,VNOM,Energy,Oil & Gas Midstream,NASDAQ,110.9,80,84,90,83
877,KEN,Utilities,Utilities—Regulated Electric,NYSE,110.88,80,69,55,78
878,BURL,Consumer Cyclical,Apparel Retail,NYSE,110.8,80,73,89,93
879,COLB,Financial Services,Banks—Regional,NASDAQ,110.78,80,89,84,59
880,KAR,Consumer Cyclical,Specialty Retail,NYSE,110.78,80,70,35,58
881,CBU,Financial Services,Banks—Regional,NYSE,110.71,80,85,81,66
882,WAB,Industrials,Railroads,NYSE,110.69,80,81,86,87
883,HBAN,Financial Services,Banks—Regional,NASDAQ,110.67,80,82,70,69
884,STT,Financial Services,Asset Management,NYSE,110.65,80,72,69,49
885,DKS,Consumer Cyclical,Specialty Retail,NYSE,110.62,80,52,85,90
886,MTB,Financial Services,Banks—Regional,NYSE,110.62,80,88,78,74
887,AOSL,Technology,Semiconductors,NASDAQ,110.6,80,89,74,93
888,CYBR,Technology,Software—Infrastructure,NASDAQ,110.58,80,77,77,90
889,RYTM,Healthcare,Biotechnology,NASDAQ,110.57,80,90,88,95
890,SMFG,Financial Services,Banks—Diversified,NYSE,110.54,80,69,52,91
891,PLBC,Financial Services,Banks—Regional,NASDAQ,110.54,80,83,48,39
892,ZION,Financial Services,Banks—Regional,NASDAQ,110.52,80,86,63,81
893,BRKL,Financial Services,Banks—Regional,NASDAQ,110.51,80,80,55,38
894,CYCN,Healthcare,Biotechnology,NASDAQ,110.5,80,12,22,9
895,HCTI,Healthcare,Health Information Services,NASDAQ,110.48,80,8,4,0
896,AMP,Financial Services,Asset Management,NYSE,110.46,80,84,77,79
897,WOOF,Consumer Cyclical,Specialty Retail,NASDAQ,110.46,80,82,97,81
898,MC,Financial Services,Capital Markets,NYSE,110.42,80,82,78,76
899,SANM,Technology,Electronic Components,NASDAQ,110.41,80,74,61,80
900,VOR,Healthcare,Biotechnology,NASDAQ,110.41,80,7,3,2
901,BCOW,Financial Services,Banks—Regional,NASDAQ,110.39,80,76,87,81
902,MDIA,Communication Services,Broadcasting,NASDAQ,110.38,79,79,24,99
903,NCMI,Communication Services,Advertising Agencies,NASDAQ,110.38,79,80,92,55
904,SUPN,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,110.35,79,65,64,30
905,MCBS,Financial Services,Banks—Regional,NASDAQ,110.35,79,82,77,84
906,CFLT,Technology,Software—Infrastructure,NASDAQ,110.34,79,77,9,26
